(PDH-CSV 4.0) (,"\\JUNBUMJIN_DEV\Processor Information(0,0)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,1)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,10)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,11)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,2)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,3)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,4)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,5)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,6)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,7)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,8)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,9)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,_Total)\% Processor Performance",\\JUNBUMJIN_DEV\Processor Information(_Total)\% Processor Performance
08/04/2026 10:44:45.219, , , , , , , , , , , , , , 
08/04/2026 10:44:46.227,144.1662334,161.514235,145.2107016,139.9761261,144.8437361,149.059057,138.8524338,131.1721147,143.0308101,144.8701687,155.9166505,142.7544776,148.0928556,148.1206733
08/04/2026 10:44:47.242,152.6093003,151.5852948,151.0615311,151.5588945,151.5271258,152.4341884,153.1312938,150.9418407,151.7143946,151.9841828,151.8787371,151.7715792,151.9135537,151.9080286
08/04/2026 10:44:48.255,150.7736666,151.457667,151.1690197,151.2365481,152.1402832,151.9355837,152.1206249,151.2901845,151.8388241,152.2052569,151.1295336,151.4760712,151.5775911,151.5861977
08/04/2026 10:44:49.267,153.7663558,153.3209464,151.6811745,151.064508,151.4419265,151.4100533,151.2878096,152.1212298,152.5239004,156.5414867,150.3257602,148.9917609,152.2012795,152.2188368
08/04/2026 10:44:50.281,157.4083838,157.4961129,155.3908058,155.0548723,152.5803535,159.3255378,149.6758285,146.7612066,150.2562267,155.8346835,148.3320502,141.5885377,154.5100561,154.4744239
08/04/2026 10:44:51.298,156.3091353,161.1315318,157.3576903,155.5932035,156.0095078,159.0490649,157.4253331,153.0871573,155.2743101,145.2320142,149.0451794,151.4474026,156.0887612,156.0865796
08/04/2026 10:44:52.304,154.7215669,157.0777885,156.2718648,153.430764,151.6079739,141.2376238,159.254236,157.522058,155.5066012,156.6568598,145.1156968,134.3355653,155.2497917,155.2680072
08/04/2026 10:44:53.309,159.5147382,157.469228,129.7451555,122.0673524,139.9750317,161.7159591,161.2735948,163.591346,158.6391263,161.7797846,154.4012031,141.9284398,159.6900238,159.6681513
08/04/2026 10:44:54.321,145.6736191,161.5555805,141.5643757,144.2426402,146.7137469,145.3761491,157.6183411,156.4024067,154.6597493,155.5085152,151.8425361,145.3373574,154.1992653,154.192586
