"(PDH-CSV 4.0) (","\\JUNBUMJIN_DEV\Processor Information(0,0)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,1)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,10)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,11)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,2)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,3)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,4)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,5)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,6)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,7)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,8)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,9)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,_Total)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(_Total)\% Processor Performance"
"08/04/2026 11:42:08.551"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"08/04/2026 11:42:09.559","143.94823199012807891","156.69652479612713591","140.26177969485129893","139.11862444277196005","146.4270142237368475","139.82251550261096895","139.72310223446586974","145.31505499587782992","154.39604426418307526","141.29427768205314919","143.78666611884904114","139.13290849264859617","146.57845281949559535","146.5969514959202229"
"08/04/2026 11:42:10.572","152.04212302667392009","153.36596768956908932","150.49596464211367675","151.68750587277224895","152.62599734815881902","151.74452350432940761","151.62562512745316212","151.64589387123464803","151.28129413758685473","151.4208964281816634","151.17764684220216509","151.50531747384599157","151.77059807989354567","151.76665231215139329"
"08/04/2026 11:42:11.584","151.89589549787530132","150.58704183345105321","150.21542230775099824","152.56189506294339253","150.76949959244095112","150.75511786784119295","151.49513355148010874","142.69302116669473435","147.59253970889369612","147.1370620290767306","148.73520992565786969","150.93785048145417704","150.08192577338670048","150.09622492003910565"
"08/04/2026 11:42:12.602","154.73745957684266727","157.27962097645419703","154.7026017383089993","156.82261039926783042","154.27503699822591443","151.09180373784184326","153.9789718945682182","151.50419521513327936","147.79697398885599569","160.45349656418790119","149.76368783832808163","150.85586393608716094","154.0186009753464873","154.02976902016735039"
"08/04/2026 11:42:13.606","159.52103608033957016","160.16312595389479156","159.89297130189464724","160.78563879532546821","147.82042678131389835","161.49795424656198861","154.33249475219125202","139.33999246136448846","151.38451271378156093","153.48427492091710178","159.14920227191959157","141.68767840152236204","158.11897665176354622","158.09135198647345533"
"08/04/2026 11:42:14.609","157.9714582586227607","159.50735371918315764","160.48403040614309134","156.48475258918296049","159.81895526910795979","158.68547083722720004","155.04956200116799891","149.2985964294103951","147.18771169555688516","151.60060133934672422","151.75365426764849985","128.8365278289716116","157.72677909923962147","157.72963515318107852"
"08/04/2026 11:42:15.626","159.72530113870215018","158.96147869944908848","160.40705890685475765","159.5436023792983633","157.18589043889215873","132.21943573667712712","147.29988728930786124","142.26039329549954005","154.30305612433070905","121.66451945374903687","155.40392038442348621","145.25990841623243455","157.69887807139545544","157.69256452824589587"
"08/04/2026 11:42:16.641","161.30504008357101497","161.36849304462282362","159.27077614863654276","161.29132713855952375","155.8253866905039331","158.82923992156602822","148.41727610745857646","139.87224019524376217","157.54650834403079784","111.43306304815489227","161.06246885416550185","149.70273114267948245","158.97772076288597987","158.91690673388549726"
"08/04/2026 11:42:17.658","161.93968363275473621","159.69557608925845216","159.45481578309497195","160.62609276793335766","158.05904075537830522","158.32549939005795636","154.65973205390383782","157.89522008357991467","151.31206836859271903","128.56118593159578722","152.55389285333902194","134.78767264481550114","158.33172849995278852","158.41992398025755051"
"08/04/2026 11:42:18.673","160.23806767372050786","159.91129606718405398","160.82390783249198307","161.65845453703275325","151.5312604907681191","156.20198162293812061","143.93931311655097716","158.60939358447052427","153.74959242982706087","128.23633068170374827","152.05165033767715954","157.55182484031669787","158.35367496977983137","158.29442584632451485"
"08/04/2026 11:42:19.688","158.6032655640998712","153.12937258807420449","159.96132969526297529","160.13157078475376238","152.49656070787463591","123.87657657657658206","151.14277688603530692","149.19296018153329442","151.10658036677455129","112.94332344213650288","160.24612008931532614","156.17568034557234569","157.56096443502661941","157.62520292595351634"
"08/04/2026 11:42:20.693","160.24188770086684031","162.36133214660520707","160.99509909984166711","159.59508641764099934","159.52019526306273178","129.95357101914478903","140.70880876312185137","146.33407850863898148","153.25898979493288721","115.76260896637609221","151.399400573364602","129.60141141966823852","158.32874881563856206","158.29766119782576084"
"08/04/2026 11:42:21.696","160.4242424242424363","160.43174901072930538","159.42097166695637611","159.4049937274140234","156.69946089147430257","155.08415758941612239","151.76849882763508504","146.03520533520534741","153.18913157960730587","132.12140423921272259","154.16145652712410197","156.193293842488373","157.63467746983965867","157.64544487072859624"
"08/04/2026 11:42:22.698","145.04093146620513721","160.65121255349501439","161.51191185535236627","159.94148741808970726","159.26441484004277527","134.2589475926714897","144.11818380107604298","140.70253741054000329","149.6470949810251625","126.96354264292408232","159.69224482798034614","156.40676712328766484","157.54728654589300163","157.57704351261915576"
"08/04/2026 11:42:23.702","151.96185502369178266","162.76411660077229726","161.98323282149533497","158.03402890089805055","161.5279019840450303","161.083059885151755","148.08011334363729361","140.17697761712776128","154.15567949432980299","141.39950274057750335","155.27139049181289465","127.02320000000000277","158.66935281756664722","158.61869130040690834"
"08/04/2026 11:42:24.706","159.92890048706038897","160.72886103731084972","160.96658374614500531","159.52501539797452779","160.95339847403951694","132.3295731032957292","141.30071116857928359","139.15182090493456712","159.79973160126684206","151.31261817723432728","146.86671628368529241","154.07563617566202652","158.83921206158004225","158.84704678042913883"
"08/04/2026 11:42:25.722","154.77540327161196387","162.64102978812471179","162.08469876931883391","159.41825568368281552","161.13293806218092641","161.43741772940228429","144.64851811855052688","145.85915967645297542","153.379077407891657","115.31540766440625134","145.98830501034677809","133.85582180765518956","158.0362905156317197","158.01369207200306732"
"08/04/2026 11:42:26.736","155.99299594799137481","162.57939732071830008","159.55121040432655377","162.04577069335803685","158.79422437966869097","159.12816273570098247","138.92076664690773669","136.52639707144084014","149.71188512068439991","115.60779046339825982","161.14842463569090114","158.77399256930550564","158.86544496872599552","158.87554185002687746"
"08/04/2026 11:42:27.748","158.13405234525976084","138.73230719113934128","160.97477837765779896","160.7345879170065075","154.41640393103767792","157.64678136126198638","153.37531619118843196","160.46811353128396149","151.99588992922764419","103.83056658246120207","143.58325856511481788","128.10082286704201238","158.06163082226660777","158.06760290272350744"
"08/04/2026 11:42:28.763","159.18596429451741869","159.27259265297249158","159.88306780845630328","160.30460712360118691","157.15115664433787401","160.21514889943892967","150.74441186867110787","154.68510683308653597","160.1254020033889276","122.98714090287278111","152.90020059050237933","148.47201686654619834","158.18314617618585771","158.18285116967837212"
"08/04/2026 11:42:29.778","161.80251323382134387","162.67072264375960344","159.18410170547466009","161.19715494214446494","155.98289274877313915","139.12022925621988634","151.34413028726532957","146.32451906260931196","154.5707720867951025","122.40618854071063026","162.13831578665261191","156.07558075221240301","159.2021430474667909","159.21246644966021222"
"08/04/2026 11:42:30.792","161.04982437385461935","153.75368916797486918","160.37076201969557587","160.47004774344654265","156.2222349912659638","159.84752555175941779","143.23771362363618209","144.85602084356003161","152.67477018608332173","119.77931221229353298","147.26446577847440267","157.48868304958841691","158.31540492535162912","158.29047559605541551"
"08/04/2026 11:42:31.795","161.20333705805134628","158.07622288387921117","159.57216242927114536","160.75712598295504563","160.00102438740469779","155.58517594972138909","149.95149971279437295","154.88679431115312468","156.29230311867382852","155.69103091992531063","154.45567191018028552","146.36228227645432298","158.53561334922056858","158.56270862668256427"
"08/04/2026 11:42:32.798","153.79357592093441554","164.44070099009900332","161.21718915848171605","158.0685977694005544","150.69147720781447219","160.25144922816386384","150.18253518763242482","151.3770843891020661","145.52683162925765714","104.62119447679255302","159.14617130731934935","149.20574125657691411","158.44988494988496086","158.44621758627411623"
