"(PDH-CSV 4.0) (","\\JUNBUMJIN_DEV\Processor Information(0,0)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,1)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,10)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,11)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,2)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,3)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,4)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,5)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,6)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,7)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,8)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,9)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(0,_Total)\% Processor Performance","\\JUNBUMJIN_DEV\Processor Information(_Total)\% Processor Performance"
"08/04/2026 15:46:18.724"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"08/04/2026 15:46:19.731","143.80620770770005379","155.35309009612012687","148.03573740774311318","148.65474023610173049","154.21225891916512296","150.61321439010924905","147.03058953214761573","143.4213606971346735","149.49140368132640333","143.99799274041114927","150.3176461440519347","150.22550796440833665","149.26600039931673791","149.29391584827860129"
"08/04/2026 15:46:20.742","150.48749076528616797","150.81985499310940213","150.54720105188829393","150.67353263413454556","150.75118306754828268","150.66035669119622753","150.96557707502782364","150.20383608068610215","150.95852926376429082","150.9950766763456329","150.57602575647626963","150.5033900538455498","150.6853362718372864","150.67497570082664993"
"08/04/2026 15:46:21.746","150.47260111195535615","151.39150446487568047","151.38798023456180886","151.73554084682552912","151.50010114203087142","151.28773277432927102","151.26860609865087781","151.41987070432119822","151.42421807850971049","151.67804454729534314","151.25935645983108202","151.64354843728929723","151.34505355038399443","151.34648793253100507"
"08/04/2026 15:46:22.748","147.18014350023813108","157.41538316345790349","154.87012743792703873","156.72492220989184375","151.77360621599680712","153.26877976547805815","148.81770256846886014","154.81487295301946006","151.45992797923122453","149.12287472189413506","154.86594159839600593","151.11208639808003795","153.50222569814005169","153.49482128888445231"
"08/04/2026 15:46:23.765","151.54302145115693179","159.44551146191136581","158.02234119273222746","154.87407333944909738","150.81930041789198071","154.99035747137375552","157.77610316364948062","153.53769552494907202","149.31441102135883625","150.96597413275148369","154.3945593252936419","157.72369873260137751","155.89139271454982349","155.89402342456267547"
"08/04/2026 15:46:24.780","150.41856959214678113","155.44606709080392193","157.21861223954138609","156.34927689202450551","156.75718692210421068","157.07377738404480283","155.31817391707417642","144.43339761445611202","154.16202823450598203","156.58853029114271749","153.89609446734002063","154.64638015846193753","155.31196188837455452","155.31224717802518853"
"08/04/2026 15:46:25.795","158.46179925528193166","159.96216431214620002","159.59045951891678783","157.95854657606861338","161.11849828993553047","157.00554999320155503","144.95051391104021832","145.94628924963726035","154.70283699310786574","152.88868976068189909","150.6772737170646792","123.8444870106548592","157.43120891731570055","157.42524914140093983"
"08/04/2026 15:46:26.807","156.82623599072846332","156.38358475342900533","158.54877822696391831","158.98033814845447864","151.97308281590193246","157.9896195543629176","150.20901843120446983","147.06777188700945658","151.82349458227247396","149.07041096666384306","147.9508569982923234","135.25739573229873258","156.01889206878959726","156.02833973095411579"
"08/04/2026 15:46:27.824","158.15028573786386801","160.16611278753120473","158.53484469183112537","158.55313215504494906","157.73980605980736414","159.29972606038711547","149.9062111580666965","147.32119123800148941","152.60519608780145973","136.11218413004988292","142.84696924455062117","133.53890029660050232","157.03153027579378431","157.0000865101793579"
"08/04/2026 15:46:28.839","159.04718591806596351","156.90537882674877324","159.09043741960519469","158.82404265225909512","155.03472007081211359","157.71985038635068577","154.65900543251149202","142.76398349326305492","143.25287766119996036","141.82010698726080022","148.46724396720932759","146.11639645151421973","156.59202671442429278","156.62188887645061186"
"08/04/2026 15:46:29.851","157.6717028939605143","157.92702432522492018","159.02798825803216687","158.70046493607128468","154.06462035541196087","157.63120127048028962","142.4512397906783292","142.13555420956996045","149.28188242625085991","137.26865671641792233","136.34737937313045109","118.62234373058282699","155.87294552684636528","155.8612019623875824"
"08/04/2026 15:46:30.867","149.76189555125725406","160.24097519848240267","158.95645651828627365","158.03141941157480233","159.42734637557245492","147.11067909508560092","155.05878425165693102","157.6922364825999523","148.10905118469338504","149.79082542828825808","139.87201456095178287","157.81757136119657048","156.31244651337752316","156.29642340021436553"
"08/04/2026 15:46:31.880","156.18004367441955083","158.24998112153201646","159.49900549945388661","160.0151790060627377","159.35426756559726869","153.19503504096337565","156.41465324056406416","151.06676384839650495","153.30162112226958016","143.63771416739996312","151.73332756931236531","155.07184518807770246","157.2910201761864073","157.24212121212121929"
"08/04/2026 15:46:32.895","156.26397537983206121","161.40149412003003704","160.24974867573999404","159.06532902309743349","159.29816076016476245","154.0898759918657106","148.50057219791315788","154.91012754177239685","149.70905157373158545","144.33890343766887554","151.73582733163254943","130.79246423534152655","157.3130141747248274","157.36726018113486703"
"08/04/2026 15:46:33.908","152.04703620460884395","160.29339293720846626","160.81287394195686602","159.86649816040772976","154.19074810108952533","157.39139368742982583","142.54070660522273783","147.63444499477188288","153.59515566396515851","144.30703662129928944","160.2565445320357469","150.28055761687693348","157.24839283529269096","157.21412454873646425"
"08/04/2026 15:46:34.916","155.14474394094645504","145.77906826687313924","156.49712266451973619","159.06066070361308107","152.0329925851270616","149.3555983346017797","157.65111113813131283","156.28828679384389488","148.16625250399371794","147.50011882936104257","139.80769994046437432","148.17380656958138729","154.44402930163349197","154.48523576144853564"
"08/04/2026 15:46:35.928","158.03016514181757657","157.8206374256625395","158.6719475304691116","159.71849691423864215","143.02610161131207178","157.1905579018217054","151.7515253275315672","142.4386084583901777","152.29635350783303238","153.86533939925149639","144.26728262343348774","141.99789473684211316","155.86602670067884446","155.8671287593984971"
"08/04/2026 15:46:36.943","155.5978792572502698","157.4269214674291959","156.84335526572203889","159.51952589550802486","156.56901399117742812","150.2951214115824996","157.18341149352198727","146.68037712962453156","156.18620829241598358","151.71948707480467533","140.54624369851222809","132.13194559628462343","155.67884847147487903","155.69623519027734915"
"08/04/2026 15:46:37.959","158.89100773404132383","162.74651949698946396","161.22877795384547994","160.63738750732201765","159.66993230967983664","146.54979852838121701","157.65954836070866918","156.71390867066466512","148.42356305932281657","133.4065456209948195","145.14084631728044883","131.32045604447375808","158.79261221344634691","158.77455288313291248"
"08/04/2026 15:46:38.963","160.96942508669252447","160.74790156292451115","156.79653581136608409","160.11239506234167607","157.58134655978452088","162.07512088167391084","159.360417051305717","155.83362466944555536","157.34060720160499613","126.84599736747637166","120.63400890666181908","124.53277252015422505","158.66119618276130154","158.62983794726841325"
"08/04/2026 15:46:39.968","153.58301677746121072","157.85811357782412756","160.23736231476581793","158.81011097410603838","152.93486957913265201","152.53943297341669449","135.23584114234716935","160.32973155410476807","145.79827451920195358","150.14772189241358546","141.21093559156420838","120.13810775295664257","156.44969520989172906","156.46726805858762077"
"08/04/2026 15:46:40.987","160.66827004115327782","158.03037121619200889","159.78917297743120685","159.13740247738542166","155.44191149360167969","160.5138844441858339","150.73664380694316378","157.94572687007266154","150.59325356192036338","140.19867343766193812","149.70097133062211014","149.59659896079358532","156.99190921322852432","157.00118630263111186"
"08/04/2026 15:46:42.004","157.10947263049689582","158.33051309872493562","159.60261594475565516","159.68762217179320828","149.6473094688221579","151.33467461349954419","146.19929604158770076","157.92335299087972089","146.39348056537102138","146.2832902318406525","143.75387146728610333","136.68750536711036148","155.51243834730345839","155.49878719275548633"
"08/04/2026 15:46:43.006","155.69399645157682244","158.43972528169678071","157.81371361594059977","158.82092560713488183","152.90558378226569403","140.74933187892008846","153.33110743168353451","157.5167561503325544","148.78696905970204512","136.07269562889081271","146.08271056528175791","148.52835610814614142","155.81667490157951761","155.83380744069674506"
"08/04/2026 15:46:44.021","151.32681222064854865","152.14319679532746932","152.31131036305956172","155.04452652312778582","153.17301211820699791","152.53032963704313829","151.5686282903608344","149.73944429463844585","153.33967092222175665","151.07434004368056435","150.58496397198379668","152.02017370164878685","152.32305588242169847","152.31673859192670761"
"08/04/2026 15:46:45.031","153.6573993636446005","151.38200233471704337","153.05212530275377958","150.16069282702264331","151.90477923431120644","154.6584089421447743","151.03984158348669098","154.20108031487794165","151.60183343031258119","150.16298091229859324","150.05912699650610875","150.38086064454137158","152.17569262803181118","152.18289621870698625"
"08/04/2026 15:46:46.048","159.47012217216595786","163.69186152365594467","160.9483062024474691","154.9589464313766598","160.39643839804341496","162.86652513136246512","150.12780927658994301","162.09610636814232976","146.08786659332386648","151.49720318577513467","152.98403304887287391","148.19167683340111807","159.57095768124602841","159.5718460561697043"
"08/04/2026 15:46:47.063","155.24846885325166568","160.73318505338079376","160.16749993243792005","160.04912101591395412","159.28279039729753208","150.74196597353497395","135.6366310311669281","156.61729073725607009","145.71287300485772676","155.15518711232618898","146.34634510908620086","147.21954058402656074","157.67358094169765081","157.62749496255179338"
"08/04/2026 15:46:48.078","159.27395255416345776","158.7662755888845254","159.57811615492099122","159.91617753461972029","154.13081731882380154","159.22039071682092981","133.77473492880946537","160.29157496814681849","150.05240082959230108","106.71866190565683041","152.08047674295960405","146.09878879636639226","157.88090276758723007","157.92376646507349847"
"08/04/2026 15:46:49.094","157.90994945707510055","160.62687663225059964","160.54955437401980589","160.52957682584630561","149.12056503322583012","143.99011173383786399","151.68416632527652155","155.35610315775053891","152.4869323934155716","129.28877005347592899","150.2992551128349703","144.081707983959177","157.50550201034994302","157.52116875372689719"
"08/04/2026 15:46:50.108","153.39509079897675292","153.01080370718437962","151.83481550896732415","153.78687369495398229","151.88406704461425534","151.62225132096546076","151.20594433184285776","151.49476971016213156","153.09445956428561431","151.97153965175584744","151.80766056779415862","151.68215759087709671","152.29232736505736057","152.29718973551223371"
"08/04/2026 15:46:51.119","151.7673678201969949","151.85881922995307036","151.77780283232735314","151.88331180231210737","151.1434561125012408","151.72673077205683967","151.76087328361316509","151.79004259265079213","151.79454117802816882","152.03133062670988807","151.76623520523796174","151.9273441846391961","151.77442685770085973","151.75970674642033487"
"08/04/2026 15:46:52.133","151.59858942566964402","151.7766078086302457","151.74220746617694999","151.84447035065758769","151.54959105190184232","151.85702441764061632","151.65726481466032283","151.82312511740460081","151.62388240368741776","151.84749815320137145","151.5679874429974916","151.8783673146518538","151.70033607480161209","151.70746213202980357"
"08/04/2026 15:46:53.147","151.61623601414839868","151.87742872190511889","151.77479046923357942","151.85255495811844639","151.68535809189961583","151.81750896628832947","151.79563425907514329","151.35459915119517404","151.86887083921655517","151.89455547898000987","151.37807556788365559","151.64750695539572689","151.72400062697130352","151.70918943886766783"
"08/04/2026 15:46:54.162","151.87092016139385464","151.8325670659693003","151.98109036132501615","152.18050106947254108","151.82243588528535838","152.19116446084694871","151.71874890464897589","151.62734330872351052","151.7464133350665918","152.06207608442457513","152.0031149662146106","152.03561259008301931","151.92359445849319854","151.94372415898305917"
